age,annual_income,ethnicity,highest_education,marital_status,employment_status,preferred_ice_cream,owns_car,owns_home,choice
76,80500,other,graduate-professional,married,unemployed,chocolate,yes,yes,party-a
42,113000,african-american,graduate-professional,single,employed,chocolate,no,yes,party-b
24,80500,caucasian,college,single,employed,chocolate,yes,no,party-a
84,130500,other,high-school,married,unemployed,vanilla,no,no,party-b
38,58500,hispanic,college,single,employed,chocolate,yes,yes,party-a
55,73000,hispanic,high-school,married,employed,vanilla,no,no,party-b
58,207000,african-american,graduate-professional,married,employed,chocolate,yes,yes,party-a
21,122500,other,graduate-professional,single,employed,chocolate,no,yes,party-a
74,92000,other,high-school,married,employed,chocolate,no,yes,party-a
71,90500,caucasian,graduate-professional,married,unemployed,vanilla,yes,no,party-a
21,27500,asian,college,single,unemployed,vanilla,yes,no,party-a
21,37000,african-american,not-high-school,single,unemployed,vanilla,yes,no,party-a
50,15000,hispanic,college,single,employed,chocolate,yes,yes,party-b
48,100000,asian,college,married,employed,chocolate,no,no,party-b
63,15000,other,not-high-school,married,employed,vanilla,no,no,party-b
57,41500,asian,high-school,married,employed,vanilla,yes,yes,party-b
34,63500,african-american,graduate-professional,single,employed,chocolate,no,no,party-a
43,89000,caucasian,high-school,single,employed,vanilla,yes,no,party-a
21,79500,african-american,college,single,unemployed,chocolate,yes,no,party-a
43,66000,caucasian,high-school,married,employed,chocolate,yes,no,party-b
21,147000,asian,college,single,employed,chocolate,no,yes,party-a
25,34500,hispanic,high-school,single,employed,vanilla,yes,no,party-a
79,54500,asian,high-school,married,unemployed,chocolate,yes,no,party-a
74,89500,other,college,married,unemployed,vanilla,yes,no,party-a
57,31000,african-american,high-school,married,employed,chocolate,yes,yes,party-a
83,35500,hispanic,high-school,married,employed,vanilla,yes,no,party-b
77,30500,hispanic,college,married,employed,chocolate,no,no,party-a
64,63000,hispanic,graduate-professional,single,employed,chocolate,no,no,party-a
55,109000,caucasian,college,married,employed,vanilla,yes,yes,party-b
31,46000,other,not-high-school,married,employed,chocolate,yes,yes,party-b
45,32500,other,high-school,single,employed,vanilla,no,no,party-b
45,41500,caucasian,high-school,married,employed,vanilla,no,no,party-b
53,90500,caucasian,graduate-professional,single,unemployed,vanilla,yes,no,party-a
60,60000,asian,college,married,employed,vanilla,yes,yes,party-b
82,58000,asian,not-high-school,single,unemployed,vanilla,no,no,party-a
81,43500,hispanic,college,married,unemployed,vanilla,no,yes,party-a
57,52000,caucasian,college,single,employed,chocolate,yes,yes,party-a
51,74500,hispanic,graduate-professional,married,employed,chocolate,yes,yes,party-a
54,168000,hispanic,graduate-professional,single,employed,vanilla,no,no,party-b
36,56000,caucasian,college,single,unemployed,vanilla,no,yes,party-b
71,63000,asian,high-school,married,unemployed,vanilla,no,yes,party-a
